iter	RMSE
140	72926.39382
141	72926.39109
142	72926.27305
143	72924.23541
144	72924.21106
145	72924.18038
146	72924.01123
147	72923.85278
148	72923.83464
149	72923.80293
150	72923.68539
151	72923.50416
152	72923.40262
153	72922.79519
154	72922.7829
155	72922.14128
156	72921.99736
157	72921.87886
158	72921.5592
159	72921.36939
160	72921.22604
161	72921.08212
162	72921.02492
163	72918.67042
164	72918.6662
165	72918.2914
166	72918.16886
167	72916.54132
168	72916.40227
169	72916.28271
170	72915.95053
171	72915.7573
172	72915.69314
173	72915.43148
174	72914.96218
175	72914.96012
176	72914.34154
177	72914.22421
178	72914.1299
179	72913.99398
180	72913.80627
181	72913.34185
182	72913.01083
183	72912.97685
184	72912.28107
185	72911.89699
186	72911.33961
187	72910.98887
188	72910.97651
189	72910.90684
190	72910.88911
191	72910.88586
192	72910.09594
193	72909.84829
194	72909.45902
195	72909.35078
196	72907.76809
197	72907.67348
198	72907.35066
199	72907.06171
200	72906.96068
201	72906.43734
202	72906.29168
203	72905.8037
204	72904.19383
205	72904.06309
206	72902.73983
207	72902.7095
208	72901.26342
209	72901.20518
210	72900.86998
211	72900.72507
212	72900.39391
213	72900.18801
214	72899.56872
215	72898.42111
216	72897.72508
217	72897.55049
218	72896.76731
219	72896.57239
220	72896.42393
221	72895.5112
222	72894.99289
223	72894.61749
224	72894.1827
225	72893.97312
226	72893.0648
227	72892.98246
228	72892.6826
229	72892.5059
230	72892.07828
231	72891.80906
232	72891.10919
233	72890.85902
234	72890.70302
235	72890.57645
236	72889.96643
237	72889.91031
238	72889.80751
239	72889.70321
240	72889.33917
241	72889.27371
242	72888.73673
243	72888.3732
244	72888.26649
245	72888.14731
246	72887.96481
247	72887.53078
248	72887.50212
249	72887.10758
250	72887.01491
251	72886.93737
252	72886.86618
253	72886.4478
254	72886.38393
255	72886.3202
256	72885.98106
257	72885.62173
258	72885.32823
259	72885.06137
260	72885.01268
261	72884.9444
262	72884.89691
263	72884.59425
264	72884.54683
265	72884.49922
266	72884.33903
267	72884.29137
268	72884.25106
269	72884.14463
270	72883.99216
271	72883.85795
272	72883.72333
273	72883.60091
274	72883.58196
275	72883.45865
276	72883.40747
277	72883.39092
278	72883.35775
279	72883.31265
280	72883.29671
281	72883.19651
282	72883.16828
283	72882.96643
284	72882.86996
285	72882.8561
286	72882.77003
287	72882.73721
288	72882.72445
289	72882.6825
290	72882.65207
291	72882.64028
292	72882.62944
293	72882.60748
294	72882.59747
295	72882.51943
296	72882.51016
297	72882.50163
298	72882.49378
299	72882.47197
300	72882.45179
301	72882.42629
302	72882.39258
303	72882.37467
304	72882.20131
305	72882.13905
306	72882.0848
307	72881.93328
308	72881.87321
309	72881.83144
310	72881.79342
311	72881.7588
312	72881.75137
313	72881.6835
314	72881.67713
315	72881.552
316	72881.49835
317	72881.39555
318	72881.34721
319	72881.34055
320	72881.25209
321	72881.23607
322	72881.15841
323	72881.09939
324	72881.07812
325	72881.06388
326	72880.99746
327	72880.98531
328	72880.94292
329	72880.88474
330	72880.86877
331	72880.8264
332	72880.81077
333	72880.79265
334	72880.78403
335	72880.76994
336	72880.76498
337	72880.71833
338	72880.6726
339	72880.66744
340	72880.65557
341	72880.6507
342	72880.63304
343	72880.5708
344	72880.55742
345	72880.54691
346	72880.54259
347	72880.49827
348	72880.44153
349	72880.42891
350	72880.40102
351	72880.38212
352	72880.3729
353	72880.34443
354	72880.30872
355	72880.259
356	72880.22156
357	72880.18735
358	72880.18186
359	72880.17398
360	72880.16661
361	72880.15456
362	72880.1234
363	72880.11687
364	72880.1104
365	72880.07117
366	72880.0456
367	72880.03361
368	72880.02767
369	72880.00196
370	72879.97949
371	72879.97316
372	72879.9676
373	72879.96239
374	72879.95451
375	72879.93205
376	72879.92669
377	72879.91887
378	72879.90959
379	72879.89775
380	72879.86776
381	72879.86081
382	72879.85474
383	72879.83363
384	72879.82805
385	72879.82009
386	72879.8129
387	72879.80389
388	72879.80026
389	72879.77869
390	72879.77016
391	72879.76031
392	72879.75282
393	72879.72455
394	72879.72142
395	72879.70475
396	72879.69653
397	72879.68732
398	72879.6796
399	72879.6747
400	72879.64792
401	72879.63955
402	72879.63501
403	72879.61881
404	72879.61296
405	72879.60956
406	72879.5949
407	72879.59168
408	72879.58838
409	72879.58226
410	72879.57712
411	72879.57424
412	72879.56995
413	72879.56661
414	72879.55974
415	72879.55708
416	72879.55224
417	72879.55064
418	72879.54278
419	72879.52463
420	72879.52188
421	72879.51912
422	72879.51377
423	72879.49161
424	72879.47708
425	72879.47137
426	72879.46585
427	72879.46096
428	72879.45643
429	72879.45223
430	72879.44953
431	72879.4456
432	72879.43837
433	72879.41895
434	72879.40073
435	72879.38344
436	72879.38074
437	72879.36381
438	72879.36143
439	72879.35912
440	72879.34777
441	72879.33295
442	72879.3267
443	72879.31193
444	72879.30198
445	72879.29207
446	72879.28362
447	72879.28061
448	72879.27171
449	72879.26345
450	72879.26169
451	72879.25922
452	72879.25679
453	72879.25446
454	72879.25285
455	72879.25133
456	72879.24845
457	72879.2337
458	72879.22484
459	72879.2227
460	72879.22103
461	72879.21331
462	72879.20157
463	72879.19101
464	72879.18445
465	72879.17494
466	72879.171
467	72879.16728
468	72879.16319
469	72879.16173
470	72879.15894
471	72879.15598
472	72879.15034
473	72879.14809
474	72879.14579
475	72879.14059
476	72879.13853
477	72879.13578
478	72879.1306
479	72879.126
480	72879.12349
481	72879.12033
482	72879.11188
483	72879.10421
484	72879.10304
485	72879.10211
486	72879.09876
487	72879.09684
488	72879.09501
489	72879.09345
490	72879.09169
491	72879.09004
492	72879.08603
493	72879.08491
494	72879.07797
495	72879.07166
496	72879.07066
497	72879.06492
498	72879.06028
499	72879.05907
